Topic,Word,P
31,new,0.010073396377265453
31,cramp,0.009827440604567528
31,sheer,0.009686782024800777
32,Seltos,0.013026980683207512
32,money,0.012696628458797932
32,clock,0.012382827699184418
32,misalign,0.01238267682492733
32,value,0.01198303047567606
32,give,0.01179217454046011
32,gimmick,0.011738140136003494
32,appeal,0.011737851426005363
32,frequently,0.011158936657011509
32,wrong,0.011158017441630363
33,car,0.020918715745210648
33,good,0.01311884168535471
33,dominate,0.012658295221626759
33,amazing,0.012389595620334148
33,family,0.01164461113512516
33,lame,0.01152107585221529
33,wise,0.01117735169827938
33,clearance,0.010895833373069763
33,ground,0.010895299725234509
33,pick,0.010702279396355152
34,premium,0.02228238619863987
34,feature,0.01602405309677124
34,fall,0.012899115681648254
34,panoramic,0.012199877761304379
34,advanced,0.011497060768306255
34,important,0.011376391164958477
34,attractive,0.010213990695774555
34,cost,0.010167118161916733
34,shoulder,0.009866819716989994
34,masculine,0.009866329841315746
35,little,0.012879667803645134
35,&,0.012337250635027885
35,sunroof,0.01222979836165905
35,panoramic,0.011265670880675316
35,space,0.010636838153004646
35,segment,0.010194654576480389
35,mordern,0.010060255415737629
35,car,0.009565763175487518
35,hand,0.009045619517564774
35,boot,0.008995789103209972
36,good,0.021352680400013924
36,car,0.018353475257754326
36,city,0.01637570932507515
36,place,0.01493276096880436
36,unbeatable,0.012194947339594364
36,engine,0.011952712200582027
36,highway,0.011909788474440575
36,boost,0.011196734383702278
36,superbly,0.010970491915941238
36,beige,0.010454975068569183
37,driver,0.01514836773276329
37,sunroof,0.012099949643015862
37,strong,0.011783035472035408
37,automatic,0.0113716134801507
37,compass,0.01108590979129076
37,convertible,0.010495128110051155
37,specification,0.010398032143712044
37,improve,0.009972888045012951
37,transmission,0.009972465224564075
37,version,0.009446652606129646
38,brake,0.013239504769444466
38,smart,0.013178212568163872
38,infotainment,0.012666943483054638
38,enable,0.012605903670191765
38,system,0.012106018140912056
38,harrier,0.011829636991024017
38,opinion,0.01154942624270916
38,feature,0.01136024296283722
38,space,0.010916285216808319
38,honest,0.01039600558578968
39,good,0.0204890388995409
39,car,0.017297405749559402
39,like,0.015082558616995811
39,drive,0.015019981190562248
39,road,0.014704848639667034
39,family,0.01274571567773819
39,traffic,0.012722190469503403
39,feel,0.01236905436962843
39,30lakethis,0.012119324877858162
39,comfortable,0.011927529238164425
40,like,0.01675526797771454
40,interior,0.013828190043568611
40,contain,0.013822365552186966
40,space,0.012561684474349022
40,hatchback,0.01245761476457119
40,cut,0.011231236159801483
40,view,0.011010292917490005
40,price,0.010964777320623398
40,nuclear,0.01082026120275259
40,good,0.009995180182158947
41,feature,0.016449807211756706
41,car,0.015017523430287838
41,thing,0.01384237315505743
41,strong,0.013388979248702526
41,safety,0.013372904621064663
41,give,0.012931961566209793
41,poor,0.012760452926158905
41,build,0.012388953007757664
41,enthusiast,0.01232153456658125
41,sound,0.012211460620164871
